Start Timestep,End Timestep,Average Episodic Return
519200,519600,27.481493
520000,520000,38.771217
520400,520400,30.58714
520800,521200,35.72913
521600,521600,16.10116
522000,522000,42.628197
522400,522400,29.726303
522800,523200,22.865301
523600,523600,28.770779
524000,524000,26.828148
524400,524800,28.433327
525200,525200,61.95146
525600,525600,8.381517
526000,526000,45.07114
526400,526800,20.92805
527200,527200,45.948994
527600,527600,34.99465
528000,528000,23.331974
528400,528800,24.164934
529200,529200,24.42244
529600,529600,29.546635
530000,530400,32.643826
530800,530800,34.83931
531200,531200,20.896433
531600,531600,28.315819
532000,532400,34.874725
532800,532800,25.434967
533200,533200,33.179935
533600,534000,28.250961
534400,534400,15.098511
534800,534800,38.052986
535200,535200,33.57133
535600,536000,28.78598
536400,536400,13.256981
536800,536800,20.92748
537200,537600,28.205824
538000,538000,21.72961
538400,538400,16.601923
538800,538800,42.842056
539200,539600,19.025986
540000,540000,14.7752075
540400,540400,19.943941
540800,540800,40.224422
541200,541600,20.883938
542000,542000,29.826607
542400,542400,19.817778
542800,543200,15.670284
543600,543600,34.51172
544000,544000,20.843454
544400,544400,25.526155
544800,545200,35.477303
545600,545600,24.652748
546000,546000,46.841908
546400,546800,20.878593
547200,547200,30.955744
547600,547600,14.325553
548000,548000,14.231063
548400,548800,16.098295
549200,549200,33.21232
549600,549600,15.393641
550000,550400,19.847
550800,550800,21.495605
551200,551200,12.2567005
551600,551600,15.763358
552000,552400,13.708203
552800,552800,30.85279
553200,553200,30.138248
553600,553600,15.900245
554000,554400,23.456528
554800,554800,7.376644
555200,555200,20.054817
555600,556000,16.598835
556400,556400,19.917442
556800,556800,38.07598
557200,557200,18.194727
557600,558000,25.1264
558400,558400,19.10236
558800,558800,41.109833
559200,559600,36.151443
560000,560000,11.421361
560400,560400,26.478897
560800,560800,32.15764
561200,561600,20.660158
562000,562000,33.517033
562400,562400,21.468536
562800,563200,27.551285
563600,563600,24.299961
564000,564000,12.760624
564400,564400,27.036152
564800,565200,22.627853
565600,565600,21.647955
566000,566000,28.406784
566400,566400,26.465355
566800,567200,18.720196
567600,567600,24.495682
568000,568000,8.612598
568400,568800,16.095768
569200,569200,22.549334
569600,569600,16.822504
570000,570000,27.24122
570400,570800,18.065086
571200,571200,31.27669
571600,571600,17.9063
572000,572400,19.023941
572800,572800,27.791862
573200,573200,34.52401
573600,573600,8.496422
574000,574400,17.959387
574800,574800,23.461239
575200,575200,22.578922
575600,576000,26.123848
576400,576400,27.40768
576800,576800,26.793392
577200,577200,23.884483
577600,578000,18.051064
578400,578400,17.493784
578800,578800,24.875906
579200,579200,26.67982
579600,580000,21.05499
580400,580400,19.33175
580800,580800,12.649267
581200,581600,20.35156
582000,582000,24.703918
582400,582400,14.082991
582800,582800,29.080437
583200,583600,25.639605
584000,584000,21.4556
584400,584400,16.274052
584800,585200,19.13428
585600,585600,21.80549
586000,586000,20.875576
586400,586400,21.850773
586800,587200,24.951332
587600,587600,35.26964
588000,588000,24.39808
588400,588800,25.606012
589200,589200,30.13527
589600,589600,23.827766
590000,590000,41.13125
590400,590800,24.4981
591200,591200,20.081451
591600,591600,27.522266
592000,592000,53.54213
592400,592800,14.376711
593200,593200,37.484993
593600,593600,41.0603
594000,594400,34.677322
594800,594800,22.117174
595200,595200,30.961311
595600,595600,34.1538
596000,596400,39.05056
596800,596800,26.52008
597200,597200,21.894543
597600,598000,19.156912
598400,598400,40.154617
598800,598800,32.530846
599200,599200,26.33839
599600,600000,28.858099
600400,600400,23.140402
600800,600800,41.020847
601200,601600,25.602236
602000,602000,19.508528
602400,602400,28.084908
602800,602800,27.755505
603200,603600,38.420105
604000,604000,36.779
604400,604400,37.61306
604800,604800,27.083445
605200,605600,29.705818
606000,606000,26.420532
606400,606400,33.39892
606800,607200,29.911533
