Start Timestep,End Timestep,Average Episodic Return
290400,290800,25.494604
291200,291200,17.229193
291600,291600,19.820671
292000,292000,37.85624
292400,292800,34.411896
293200,293200,33.297806
293600,293600,26.241976
294000,294400,23.292892
294800,294800,34.568787
295200,295200,23.72238
295600,295600,52.962242
296000,296400,37.215805
296800,296800,40.530617
297200,297200,16.381525
297600,297600,34.027794
298000,298400,12.321697
298800,298800,4.7879796
299200,299200,13.903976
299600,300000,20.298817
300400,300400,30.058746
300800,300800,38.657417
301200,301200,32.400776
301600,302000,22.374752
302400,302400,30.3044
302800,302800,21.85055
303200,303600,35.104744
304000,304000,21.706175
304400,304400,21.593466
304800,304800,25.319077
305200,305600,11.708236
306000,306000,36.083538
306400,306400,35.775204
306800,307200,13.51021
307600,307600,29.097898
308000,308000,12.980665
308400,308400,25.625792
308800,309200,19.670195
309600,309600,16.891682
310000,310000,36.5633
310400,310400,29.689678
310800,311200,19.090374
311600,311600,26.7892
312000,312000,20.54895
312400,312800,25.105389
313200,313200,15.605914
313600,313600,16.758131
314000,314000,31.352455
314400,314800,29.168251
315200,315200,18.106754
315600,315600,53.529015
316000,316400,28.862541
316800,316800,24.948738
317200,317200,28.73462
317600,317600,38.667442
318000,318400,26.93054
318800,318800,23.818739
319200,319200,18.405869
319600,320000,38.591133
320400,320400,15.36627
320800,320800,21.836124
321200,321200,27.748316
321600,322000,19.78259
322400,322400,33.513824
322800,322800,37.149517
323200,323200,27.535015
323600,324000,29.548061
324400,324400,30.854488
324800,324800,27.671307
325200,325600,33.987823
326000,326000,26.318237
326400,326400,39.72729
326800,326800,23.893988
327200,327600,20.71359
328000,328000,30.397045
328400,328400,25.962782
328800,329200,20.239649
329600,329600,17.272354
330000,330000,14.304597
330400,330400,11.139809
330800,331200,19.553799
331600,331600,25.256842
332000,332000,9.285418
332400,332800,23.28727
333200,333200,24.326504
333600,333600,26.849503
334000,334000,33.898125
334400,334800,29.152893
335200,335200,27.288914
335600,335600,48.473373
336000,336000,12.786839
336400,336800,35.03184
337200,337200,20.291212
337600,337600,37.227627
338000,338400,28.08923
338800,338800,34.27598
339200,339200,26.738686
339600,339600,25.968132
340000,340400,29.7613
340800,340800,37.925007
341200,341200,12.553809
341600,342000,23.422644
