timesteps=31236 - 31700, avg discounted return=2.45
timesteps=31812 - 32244, avg discounted return=2.94
timesteps=31748 - 32116, avg discounted return=1.47
timesteps=31860 - 32148, avg discounted return=1.05
timesteps=31812 - 32084, avg discounted return=1.64
timesteps=31812 - 32164, avg discounted return=0.75
timesteps=31924 - 32212, avg discounted return=2.88
timesteps=31780 - 32132, avg discounted return=0.60
timesteps=31764 - 32244, avg discounted return=3.03
timesteps=31764 - 31764, avg discounted return=2.93
timesteps=31892 - 32212, avg discounted return=0.62
timesteps=32452 - 32660, avg discounted return=2.72
timesteps=32308 - 32612, avg discounted return=2.49
timesteps=32260 - 32644, avg discounted return=1.60
timesteps=32404 - 32628, avg discounted return=1.04
timesteps=32500 - 32692, avg discounted return=3.15
timesteps=32260 - 32708, avg discounted return=3.05
timesteps=32356 - 32740, avg discounted return=1.87
timesteps=32276 - 32708, avg discounted return=3.38
timesteps=32340 - 32692, avg discounted return=1.05
timesteps=32340 - 32468, avg discounted return=2.07
timesteps=32836 - 33220, avg discounted return=2.96
timesteps=32804 - 33172, avg discounted return=2.02
timesteps=32788 - 33204, avg discounted return=0.78
timesteps=32788 - 33172, avg discounted return=1.63
timesteps=32804 - 33172, avg discounted return=2.11
timesteps=32804 - 33124, avg discounted return=3.30
timesteps=32804 - 33172, avg discounted return=0.52
timesteps=32820 - 33252, avg discounted return=3.41
timesteps=32820 - 32964, avg discounted return=3.31
timesteps=32868 - 33204, avg discounted return=2.67
timesteps=33492 - 33748, avg discounted return=2.27
timesteps=33348 - 33748, avg discounted return=2.23
timesteps=33300 - 33716, avg discounted return=1.86
timesteps=33332 - 33780, avg discounted return=2.61
timesteps=33316 - 33716, avg discounted return=1.27
timesteps=33380 - 33620, avg discounted return=3.46
timesteps=33300 - 33748, avg discounted return=3.38
timesteps=33316 - 33716, avg discounted return=3.45
timesteps=33284 - 33636, avg discounted return=2.28
timesteps=33284 - 33636, avg discounted return=2.43
timesteps=33876 - 34292, avg discounted return=2.69
timesteps=34100 - 34244, avg discounted return=1.07
timesteps=33860 - 34292, avg discounted return=2.83
timesteps=33876 - 34276, avg discounted return=2.78
timesteps=33796 - 34180, avg discounted return=2.49
timesteps=33860 - 34292, avg discounted return=3.45
timesteps=33796 - 34292, avg discounted return=2.81
timesteps=33796 - 34276, avg discounted return=3.40
timesteps=33796 - 34228, avg discounted return=0.77
timesteps=33924 - 34292, avg discounted return=1.48
timesteps=34356 - 34756, avg discounted return=1.94
timesteps=34484 - 34740, avg discounted return=1.59
timesteps=34500 - 34788, avg discounted return=1.60
timesteps=34404 - 34740, avg discounted return=1.63
timesteps=34548 - 34740, avg discounted return=2.25
timesteps=34324 - 34708, avg discounted return=3.50
timesteps=34404 - 34788, avg discounted return=0.53
timesteps=34324 - 34756, avg discounted return=3.41
timesteps=34340 - 34772, avg discounted return=1.82
timesteps=34372 - 34676, avg discounted return=2.09
timesteps=34948 - 35252, avg discounted return=3.45
timesteps=34868 - 35284, avg discounted return=2.30
timesteps=34868 - 35252, avg discounted return=2.12
timesteps=34836 - 35044, avg discounted return=2.16
timesteps=34932 - 35268, avg discounted return=2.53
timesteps=34932 - 35284, avg discounted return=3.51
timesteps=34868 - 35300, avg discounted return=2.34
timesteps=34820 - 35156, avg discounted return=3.36
timesteps=34820 - 35156, avg discounted return=1.34
timesteps=34836 - 35172, avg discounted return=1.53
timesteps=35364 - 35796, avg discounted return=3.46
timesteps=35364 - 35364, avg discounted return=3.39
timesteps=35332 - 35780, avg discounted return=0.98
timesteps=35364 - 35764, avg discounted return=2.67
timesteps=35412 - 35668, avg discounted return=1.22
timesteps=35572 - 35748, avg discounted return=3.52
timesteps=35348 - 35780, avg discounted return=0.49
timesteps=35364 - 35620, avg discounted return=3.48
timesteps=35540 - 35748, avg discounted return=0.63
timesteps=35332 - 35780, avg discounted return=2.52
timesteps=35844 - 36340, avg discounted return=3.48
timesteps=35876 - 36308, avg discounted return=2.34
timesteps=35860 - 36324, avg discounted return=0.60
timesteps=35844 - 36068, avg discounted return=2.44
timesteps=35860 - 36212, avg discounted return=2.40
timesteps=35860 - 36340, avg discounted return=3.55
timesteps=35860 - 36324, avg discounted return=2.60
timesteps=35892 - 36276, avg discounted return=3.37
timesteps=35876 - 36292, avg discounted return=1.21
timesteps=36116 - 36228, avg discounted return=3.02
timesteps=36372 - 36852, avg discounted return=3.47
timesteps=36404 - 36692, avg discounted return=2.70
timesteps=36404 - 36836, avg discounted return=1.67
timesteps=36356 - 36788, avg discounted return=1.59
timesteps=36356 - 36820, avg discounted return=2.47
timesteps=36388 - 36804, avg discounted return=3.20
timesteps=36356 - 36820, avg discounted return=0.79
timesteps=36500 - 36836, avg discounted return=3.42
timesteps=36372 - 36836, avg discounted return=1.15
timesteps=36356 - 36756, avg discounted return=1.90
