## SLURM PROLOG ###############################################################
##    Job ID : 8517534
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2107
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:30:11 PM EST 2025
###############################################################################
obs (65,)
timesteps=6205456 - 6207376, avg episodic return=10.00
timesteps=6205456 - 6207376, avg episodic return=10.00
timesteps=6207888 - 6209424, avg episodic return=10.00
timesteps=6207504 - 6209424, avg episodic return=10.00
timesteps=6207504 - 6209424, avg episodic return=10.53
timesteps=6207504 - 6209424, avg episodic return=10.00
timesteps=6207504 - 6209296, avg episodic return=10.00
timesteps=6209552 - 6211472, avg episodic return=10.00
timesteps=6209552 - 6211472, avg episodic return=10.00
timesteps=6209552 - 6211472, avg episodic return=9.29
timesteps=6209552 - 6211472, avg episodic return=10.00
timesteps=6209552 - 6211472, avg episodic return=10.00
timesteps=6211728 - 6213392, avg episodic return=9.17
timesteps=6211600 - 6213520, avg episodic return=10.00
timesteps=6211600 - 6212624, avg episodic return=11.43
timesteps=6211600 - 6213520, avg episodic return=10.00
timesteps=6211600 - 6213520, avg episodic return=10.00
timesteps=6213648 - 6215568, avg episodic return=10.00
timesteps=6213648 - 6215568, avg episodic return=10.00
timesteps=6213648 - 6215568, avg episodic return=10.00
timesteps=6213648 - 6215568, avg episodic return=9.66
timesteps=6213648 - 6215568, avg episodic return=10.00
timesteps=6215696 - 6217488, avg episodic return=9.33
timesteps=6215696 - 6217488, avg episodic return=10.00
timesteps=6215952 - 6217360, avg episodic return=8.33
timesteps=6215696 - 6217616, avg episodic return=10.00
timesteps=6215696 - 6217616, avg episodic return=10.00
timesteps=6218000 - 6219536, avg episodic return=10.83
timesteps=6217744 - 6219664, avg episodic return=10.00
timesteps=6217744 - 6219536, avg episodic return=10.00
timesteps=6217872 - 6219536, avg episodic return=10.00
timesteps=6217744 - 6219536, avg episodic return=10.00
timesteps=6219792 - 6221584, avg episodic return=10.00
timesteps=6219920 - 6221712, avg episodic return=10.00
timesteps=6219792 - 6221712, avg episodic return=10.50
timesteps=6219792 - 6221712, avg episodic return=9.50
timesteps=6219792 - 6221712, avg episodic return=10.00
timesteps=6221968 - 6223504, avg episodic return=10.77
timesteps=6221840 - 6223760, avg episodic return=10.00
timesteps=6221840 - 6223760, avg episodic return=8.67
timesteps=6222096 - 6223760, avg episodic return=10.48
timesteps=6221968 - 6223760, avg episodic return=10.00
timesteps=6224016 - 6225808, avg episodic return=10.00
timesteps=6223888 - 6225808, avg episodic return=10.00
timesteps=6224016 - 6225808, avg episodic return=10.00
timesteps=6223888 - 6225808, avg episodic return=10.00
timesteps=6223888 - 6225808, avg episodic return=10.00
timesteps=6225936 - 6226704, avg episodic return=12.00
timesteps=6225936 - 6227856, avg episodic return=10.00
timesteps=6225936 - 6227856, avg episodic return=10.00
timesteps=6225936 - 6227856, avg episodic return=10.00
timesteps=6225936 - 6227856, avg episodic return=10.00
timesteps=6228240 - 6229648, avg episodic return=10.00
timesteps=6227984 - 6229904, avg episodic return=10.00
timesteps=6228112 - 6229776, avg episodic return=10.00
timesteps=6227984 - 6229904, avg episodic return=10.00
timesteps=6228112 - 6229904, avg episodic return=10.00
timesteps=6230288 - 6231568, avg episodic return=10.00
timesteps=6230032 - 6231952, avg episodic return=10.00
timesteps=6230160 - 6231952, avg episodic return=10.00
timesteps=6230032 - 6231952, avg episodic return=9.05
timesteps=6230032 - 6231952, avg episodic return=10.00
timesteps=6232080 - 6234000, avg episodic return=10.00
timesteps=6232080 - 6234000, avg episodic return=10.00
timesteps=6232080 - 6234000, avg episodic return=10.00
timesteps=6232080 - 6233744, avg episodic return=10.00
timesteps=6232080 - 6234000, avg episodic return=10.00
timesteps=6234384 - 6235920, avg episodic return=10.00
timesteps=6234128 - 6235920, avg episodic return=10.00
timesteps=6234128 - 6236048, avg episodic return=9.44
timesteps=6234128 - 6235792, avg episodic return=10.00
timesteps=6234128 - 6236048, avg episodic return=10.00
timesteps=6236304 - 6238096, avg episodic return=10.91
timesteps=6236176 - 6238096, avg episodic return=10.00
timesteps=6236176 - 6237968, avg episodic return=8.33
timesteps=6236176 - 6238096, avg episodic return=10.00
timesteps=6236304 - 6238096, avg episodic return=10.00
timesteps=6238480 - 6240144, avg episodic return=10.77
timesteps=6238352 - 6240144, avg episodic return=10.00
timesteps=6238352 - 6240144, avg episodic return=10.00
timesteps=6238480 - 6240144, avg episodic return=10.00
timesteps=6238224 - 6240144, avg episodic return=10.00
timesteps=6240272 - 6242192, avg episodic return=10.00
timesteps=6240272 - 6242192, avg episodic return=10.00
timesteps=6240400 - 6241936, avg episodic return=10.83
timesteps=6240400 - 6241936, avg episodic return=10.00
timesteps=6240272 - 6242064, avg episodic return=10.00
timesteps=6242448 - 6244240, avg episodic return=8.75
timesteps=6242448 - 6244240, avg episodic return=10.00
timesteps=6242320 - 6244112, avg episodic return=10.83
timesteps=6242320 - 6244240, avg episodic return=10.00
timesteps=6242320 - 6244240, avg episodic return=10.00
timesteps=6244368 - 6246160, avg episodic return=10.00
timesteps=6244368 - 6246288, avg episodic return=10.00
timesteps=6244368 - 6246288, avg episodic return=10.00
timesteps=6244496 - 6246288, avg episodic return=10.00
timesteps=6244368 - 6246288, avg episodic return=10.00
timesteps=6246416 - 6248208, avg episodic return=9.17
timesteps=6246416 - 6248336, avg episodic return=10.00
timesteps=6246672 - 6247952, avg episodic return=10.83
timesteps=6246416 - 6248336, avg episodic return=10.00
timesteps=6246416 - 6248336, avg episodic return=10.00
timesteps=6248592 - 6250384, avg episodic return=8.89
timesteps=6248464 - 6250256, avg episodic return=10.00
timesteps=6248592 - 6250384, avg episodic return=9.17
timesteps=6248464 - 6250384, avg episodic return=10.00
timesteps=6248464 - 6250384, avg episodic return=10.00
timesteps=6250512 - 6252432, avg episodic return=10.83
timesteps=6250512 - 6252432, avg episodic return=10.00
timesteps=6250768 - 6252176, avg episodic return=10.00
timesteps=6250512 - 6252432, avg episodic return=9.69
timesteps=6250512 - 6252432, avg episodic return=10.00
timesteps=6253072 - 6254480, avg episodic return=11.43
timesteps=6252560 - 6254480, avg episodic return=10.00
timesteps=6252560 - 6253968, avg episodic return=10.00
timesteps=6252560 - 6254480, avg episodic return=10.00
timesteps=6252560 - 6254480, avg episodic return=10.00
timesteps=6254608 - 6256400, avg episodic return=10.91
timesteps=6254608 - 6256528, avg episodic return=10.00
timesteps=6254864 - 6256400, avg episodic return=10.00
timesteps=6254608 - 6256528, avg episodic return=10.00
timesteps=6254736 - 6256528, avg episodic return=10.00
timesteps=6256656 - 6258192, avg episodic return=10.00
timesteps=6256656 - 6258576, avg episodic return=10.00
timesteps=6256784 - 6258320, avg episodic return=10.00
timesteps=6256784 - 6258576, avg episodic return=10.00
timesteps=6256656 - 6258576, avg episodic return=10.00
timesteps=6258704 - 6260624, avg episodic return=8.75
timesteps=6258704 - 6260624, avg episodic return=10.00
timesteps=6258832 - 6260624, avg episodic return=10.00
timesteps=6258704 - 6260624, avg episodic return=10.00
timesteps=6258704 - 6260624, avg episodic return=10.00
timesteps=6260752 - 6262544, avg episodic return=9.17
timesteps=6260752 - 6262672, avg episodic return=10.00
timesteps=6261136 - 6262288, avg episodic return=10.00
timesteps=6260752 - 6262672, avg episodic return=10.37
timesteps=6260752 - 6262672, avg episodic return=10.00
timesteps=6262800 - 6264720, avg episodic return=10.00
timesteps=6262800 - 6264592, avg episodic return=10.00
timesteps=6262928 - 6264720, avg episodic return=10.77
timesteps=6262928 - 6264592, avg episodic return=10.00
timesteps=6262800 - 6264720, avg episodic return=10.00
timesteps=6264848 - 6266640, avg episodic return=10.00
timesteps=6264848 - 6266768, avg episodic return=10.00
timesteps=6264976 - 6266640, avg episodic return=10.00
timesteps=6264848 - 6266768, avg episodic return=10.00
timesteps=6264848 - 6266768, avg episodic return=10.00
timesteps=6267024 - 6268688, avg episodic return=10.00
timesteps=6266896 - 6268816, avg episodic return=10.00
timesteps=6267024 - 6268688, avg episodic return=10.00
timesteps=6266896 - 6268816, avg episodic return=10.00
timesteps=6266896 - 6268816, avg episodic return=10.00
timesteps=6268944 - 6270864, avg episodic return=9.29
timesteps=6268944 - 6270864, avg episodic return=10.00
timesteps=6268944 - 6270736, avg episodic return=10.62
timesteps=6269072 - 6270864, avg episodic return=9.33
timesteps=6268944 - 6270864, avg episodic return=10.00
timesteps=6271120 - 6272912, avg episodic return=10.00
timesteps=6271120 - 6272912, avg episodic return=10.00
timesteps=6270992 - 6272912, avg episodic return=10.00
timesteps=6271120 - 6272912, avg episodic return=10.00
timesteps=6270992 - 6272912, avg episodic return=10.00
timesteps=6273168 - 6274960, avg episodic return=10.00
timesteps=6273040 - 6274960, avg episodic return=10.00
timesteps=6273168 - 6274832, avg episodic return=10.00
timesteps=6273040 - 6274960, avg episodic return=10.00
timesteps=6273040 - 6274960, avg episodic return=10.00
timesteps=6275088 - 6277008, avg episodic return=11.67
timesteps=6275088 - 6277008, avg episodic return=10.00
timesteps=6275472 - 6277008, avg episodic return=10.00
timesteps=6275088 - 6277008, avg episodic return=10.00
timesteps=6275088 - 6277008, avg episodic return=10.00
timesteps=6277136 - 6278672, avg episodic return=9.00
timesteps=6277136 - 6279056, avg episodic return=10.00
timesteps=6277136 - 6278672, avg episodic return=9.09
timesteps=6277136 - 6278928, avg episodic return=10.00
timesteps=6277136 - 6279056, avg episodic return=10.00
timesteps=6279312 - 6280592, avg episodic return=10.00
timesteps=6279184 - 6281104, avg episodic return=10.00
timesteps=6279696 - 6280976, avg episodic return=10.00
timesteps=6279312 - 6281104, avg episodic return=10.00
timesteps=6279184 - 6281104, avg episodic return=10.00
timesteps=6281232 - 6283152, avg episodic return=10.56
timesteps=6281232 - 6283152, avg episodic return=10.00
timesteps=6281232 - 6283024, avg episodic return=10.00
timesteps=6281360 - 6283152, avg episodic return=10.00
timesteps=6281232 - 6283152, avg episodic return=10.00
timesteps=6283408 - 6285200, avg episodic return=10.00
timesteps=6283408 - 6285200, avg episodic return=10.00
timesteps=6283920 - 6285200, avg episodic return=10.00
timesteps=6283536 - 6285200, avg episodic return=10.00
timesteps=6283408 - 6285200, avg episodic return=10.00
timesteps=6285328 - 6287120, avg episodic return=10.00
timesteps=6285328 - 6287248, avg episodic return=10.00
timesteps=6285328 - 6287248, avg episodic return=10.00
timesteps=6285328 - 6287248, avg episodic return=10.00
timesteps=6285328 - 6287248, avg episodic return=10.00
timesteps=6287504 - 6289296, avg episodic return=10.00
timesteps=6287376 - 6289296, avg episodic return=10.00
timesteps=6287376 - 6289168, avg episodic return=10.00
timesteps=6287632 - 6289168, avg episodic return=10.00
timesteps=6287504 - 6289296, avg episodic return=10.00
timesteps=6289680 - 6291344, avg episodic return=10.00
timesteps=6289424 - 6291344, avg episodic return=10.00
timesteps=6289552 - 6291344, avg episodic return=10.00
timesteps=6289424 - 6291344, avg episodic return=10.00
timesteps=6289424 - 6291344, avg episodic return=10.00
timesteps=6291600 - 6293136, avg episodic return=11.33
timesteps=6291472 - 6293264, avg episodic return=10.00
timesteps=6291472 - 6293392, avg episodic return=10.00
timesteps=6291472 - 6293392, avg episodic return=10.00
timesteps=6291472 - 6293392, avg episodic return=10.00
timesteps=6293648 - 6295312, avg episodic return=9.00
timesteps=6293520 - 6295440, avg episodic return=10.00
timesteps=6293520 - 6295440, avg episodic return=10.00
timesteps=6293648 - 6295440, avg episodic return=10.00
timesteps=6293520 - 6295440, avg episodic return=10.00
timesteps=6295568 - 6297488, avg episodic return=10.00
timesteps=6295568 - 6297360, avg episodic return=10.00
timesteps=6295568 - 6297104, avg episodic return=11.43
timesteps=6295568 - 6297360, avg episodic return=10.00
timesteps=6295568 - 6297488, avg episodic return=10.00
timesteps=6297616 - 6299408, avg episodic return=10.83
timesteps=6297616 - 6299536, avg episodic return=10.00
timesteps=6297616 - 6299536, avg episodic return=11.33
timesteps=6297616 - 6299536, avg episodic return=10.42
timesteps=6297616 - 6299536, avg episodic return=10.00
timesteps=6299664 - 6301584, avg episodic return=10.00
timesteps=6299664 - 6301584, avg episodic return=10.00
timesteps=6299664 - 6301584, avg episodic return=10.00
timesteps=6299664 - 6301584, avg episodic return=10.00
timesteps=6299664 - 6301584, avg episodic return=10.00
timesteps=6302224 - 6303376, avg episodic return=10.00
timesteps=6301712 - 6303504, avg episodic return=10.00
timesteps=6301712 - 6302992, avg episodic return=10.83
timesteps=6301712 - 6303632, avg episodic return=10.00
timesteps=6301712 - 6303504, avg episodic return=10.00
timesteps=6303760 - 6305552, avg episodic return=10.83
timesteps=6303760 - 6305680, avg episodic return=10.00
timesteps=6303888 - 6305680, avg episodic return=9.23
timesteps=6304400 - 6305680, avg episodic return=10.00
timesteps=6303760 - 6305680, avg episodic return=10.00
timesteps=6305936 - 6307600, avg episodic return=10.00
timesteps=6305808 - 6307728, avg episodic return=10.00
timesteps=6305808 - 6307472, avg episodic return=10.00
timesteps=6305808 - 6307728, avg episodic return=10.00
timesteps=6305808 - 6307728, avg episodic return=10.00
timesteps=6307856 - 6309776, avg episodic return=10.56
timesteps=6307856 - 6309648, avg episodic return=10.00
timesteps=6307856 - 6309776, avg episodic return=8.33
timesteps=6307856 - 6309776, avg episodic return=9.63
timesteps=6307856 - 6309776, avg episodic return=10.00
timesteps=6310288 - 6311824, avg episodic return=10.00
timesteps=6309904 - 6311824, avg episodic return=10.00
timesteps=6309904 - 6311824, avg episodic return=10.00
timesteps=6309904 - 6311824, avg episodic return=10.00
timesteps=6309904 - 6311824, avg episodic return=10.00
timesteps=6311952 - 6313872, avg episodic return=11.00
timesteps=6311952 - 6313872, avg episodic return=10.00
timesteps=6312080 - 6313872, avg episodic return=10.00
timesteps=6311952 - 6313872, avg episodic return=10.00
timesteps=6311952 - 6313744, avg episodic return=10.00
timesteps=6314256 - 6315792, avg episodic return=10.00
timesteps=6314000 - 6315920, avg episodic return=10.00
timesteps=6314512 - 6315920, avg episodic return=10.00
timesteps=6314256 - 6315920, avg episodic return=10.43
timesteps=6314000 - 6315920, avg episodic return=10.00
timesteps=6316048 - 6317584, avg episodic return=11.82
timesteps=6316048 - 6317968, avg episodic return=10.00
timesteps=6316176 - 6317840, avg episodic return=10.00
timesteps=6316048 - 6317968, avg episodic return=10.00
timesteps=6316176 - 6317968, avg episodic return=10.00
timesteps=6318096 - 6319888, avg episodic return=11.00
timesteps=6318096 - 6320016, avg episodic return=10.00
timesteps=6318480 - 6320016, avg episodic return=10.00
timesteps=6318096 - 6320016, avg episodic return=10.00
timesteps=6318096 - 6320016, avg episodic return=10.00
timesteps=6320272 - 6322064, avg episodic return=9.29
timesteps=6320144 - 6322064, avg episodic return=10.00
timesteps=6320144 - 6322064, avg episodic return=9.09
timesteps=6320144 - 6322064, avg episodic return=10.00
timesteps=6320400 - 6322064, avg episodic return=10.00
timesteps=6322192 - 6324112, avg episodic return=10.00
timesteps=6322192 - 6323984, avg episodic return=10.00
timesteps=6322192 - 6324112, avg episodic return=10.00
timesteps=6322192 - 6324112, avg episodic return=10.00
timesteps=6322192 - 6324112, avg episodic return=10.00
timesteps=6324240 - 6325520, avg episodic return=9.00
timesteps=6324240 - 6326160, avg episodic return=10.00
timesteps=6324240 - 6326160, avg episodic return=9.41
timesteps=6324368 - 6326160, avg episodic return=10.00
timesteps=6324240 - 6326160, avg episodic return=10.00
timesteps=6326544 - 6328208, avg episodic return=10.00
timesteps=6326288 - 6328208, avg episodic return=10.00
timesteps=6326416 - 6327824, avg episodic return=10.00
timesteps=6326288 - 6328208, avg episodic return=10.00
timesteps=6326288 - 6328208, avg episodic return=10.00
timesteps=6328336 - 6330256, avg episodic return=10.00
timesteps=6328336 - 6330256, avg episodic return=10.00
timesteps=6328592 - 6330256, avg episodic return=10.00
timesteps=6328464 - 6330256, avg episodic return=10.00
timesteps=6328336 - 6330256, avg episodic return=10.00
timesteps=6330384 - 6332304, avg episodic return=10.00
timesteps=6330384 - 6332304, avg episodic return=10.00
timesteps=6330512 - 6332304, avg episodic return=10.00
timesteps=6330384 - 6332304, avg episodic return=10.00
timesteps=6330384 - 6332304, avg episodic return=10.00
timesteps=6332560 - 6334352, avg episodic return=10.00
timesteps=6332432 - 6334352, avg episodic return=10.00
timesteps=6332560 - 6334352, avg episodic return=9.00
timesteps=6332432 - 6334224, avg episodic return=10.00
timesteps=6332432 - 6334352, avg episodic return=10.00
timesteps=6334480 - 6336016, avg episodic return=10.00
timesteps=6334480 - 6336400, avg episodic return=10.00
timesteps=6334480 - 6336272, avg episodic return=10.91
timesteps=6334480 - 6336400, avg episodic return=10.36
timesteps=6334480 - 6336400, avg episodic return=10.00
timesteps=6336784 - 6338448, avg episodic return=9.38
timesteps=6336528 - 6338448, avg episodic return=10.00
timesteps=6336912 - 6338448, avg episodic return=10.00
timesteps=6336528 - 6338448, avg episodic return=9.62
timesteps=6336528 - 6338448, avg episodic return=10.00
timesteps=6338576 - 6340368, avg episodic return=10.00
timesteps=6338576 - 6340496, avg episodic return=10.00
timesteps=6338704 - 6340496, avg episodic return=10.00
timesteps=6338576 - 6340240, avg episodic return=10.00
timesteps=6338576 - 6340496, avg episodic return=10.00
timesteps=6341136 - 6342416, avg episodic return=10.00
timesteps=6340624 - 6342544, avg episodic return=10.00
timesteps=6340624 - 6342544, avg episodic return=10.71
timesteps=6340624 - 6342416, avg episodic return=10.00
timesteps=6340624 - 6342544, avg episodic return=10.00
timesteps=6342672 - 6344592, avg episodic return=10.83
timesteps=6342672 - 6344592, avg episodic return=10.00
timesteps=6342672 - 6344592, avg episodic return=11.00
timesteps=6342672 - 6344592, avg episodic return=10.00
timesteps=6342672 - 6344592, avg episodic return=10.00
timesteps=6344976 - 6346640, avg episodic return=10.00
timesteps=6344720 - 6346640, avg episodic return=10.00
timesteps=6344720 - 6346512, avg episodic return=10.00
timesteps=6344720 - 6346640, avg episodic return=10.00
timesteps=6344720 - 6346640, avg episodic return=10.00
timesteps=6346768 - 6348688, avg episodic return=9.29
timesteps=6346768 - 6348688, avg episodic return=10.00
timesteps=6346896 - 6348560, avg episodic return=10.00
timesteps=6347024 - 6348688, avg episodic return=10.00
timesteps=6346768 - 6348688, avg episodic return=10.00
timesteps=6349328 - 6350608, avg episodic return=10.00
timesteps=6348816 - 6350736, avg episodic return=10.00
timesteps=6348816 - 6350736, avg episodic return=10.00
timesteps=6348816 - 6350736, avg episodic return=9.55
timesteps=6348944 - 6350736, avg episodic return=10.00
timesteps=6351248 - 6352528, avg episodic return=10.00
timesteps=6350864 - 6352784, avg episodic return=10.00
timesteps=6350864 - 6352784, avg episodic return=10.00
timesteps=6350992 - 6352784, avg episodic return=10.36
timesteps=6350992 - 6352784, avg episodic return=10.00
timesteps=6352912 - 6354448, avg episodic return=9.17
timesteps=6352912 - 6354832, avg episodic return=10.00
timesteps=6352912 - 6354576, avg episodic return=10.00
timesteps=6352912 - 6354832, avg episodic return=10.00
timesteps=6352912 - 6354832, avg episodic return=10.00
timesteps=6354960 - 6356880, avg episodic return=10.00
timesteps=6354960 - 6356880, avg episodic return=10.00
timesteps=6354960 - 6356880, avg episodic return=8.75
timesteps=6354960 - 6356880, avg episodic return=10.00
timesteps=6354960 - 6356880, avg episodic return=10.00
timesteps=6357008 - 6358800, avg episodic return=11.25
timesteps=6357008 - 6358928, avg episodic return=10.00
timesteps=6357008 - 6358800, avg episodic return=10.00
timesteps=6357008 - 6358928, avg episodic return=10.00
timesteps=6357008 - 6358928, avg episodic return=10.00
timesteps=6359184 - 6360720, avg episodic return=9.23
timesteps=6359056 - 6360848, avg episodic return=10.00
timesteps=6359056 - 6360848, avg episodic return=10.00
timesteps=6359312 - 6360848, avg episodic return=9.44
timesteps=6359184 - 6360976, avg episodic return=10.00
timesteps=6361104 - 6362896, avg episodic return=10.00
timesteps=6361104 - 6363024, avg episodic return=10.00
timesteps=6361104 - 6362768, avg episodic return=9.00
timesteps=6361104 - 6363024, avg episodic return=10.00
timesteps=6361104 - 6363024, avg episodic return=10.00
timesteps=6363152 - 6364944, avg episodic return=10.00
timesteps=6363152 - 6365072, avg episodic return=10.00
timesteps=6363152 - 6365072, avg episodic return=10.00
timesteps=6363152 - 6365072, avg episodic return=10.00
timesteps=6363280 - 6365072, avg episodic return=10.00
timesteps=6365328 - 6367120, avg episodic return=10.00
timesteps=6365200 - 6367120, avg episodic return=10.00
timesteps=6365200 - 6367120, avg episodic return=10.00
timesteps=6365200 - 6367120, avg episodic return=10.00
timesteps=6365200 - 6367120, avg episodic return=10.00
timesteps=6367248 - 6368784, avg episodic return=10.00
timesteps=6367376 - 6369168, avg episodic return=10.00
timesteps=6367376 - 6369168, avg episodic return=10.00
timesteps=6367248 - 6369168, avg episodic return=10.00
timesteps=6367248 - 6369168, avg episodic return=10.00
timesteps=6369552 - 6371216, avg episodic return=10.00
timesteps=6369296 - 6371216, avg episodic return=10.00
timesteps=6369424 - 6371216, avg episodic return=10.83
timesteps=6369296 - 6371088, avg episodic return=10.40
timesteps=6369296 - 6371216, avg episodic return=10.00
timesteps=6371344 - 6373008, avg episodic return=8.18
timesteps=6371344 - 6373264, avg episodic return=10.00
timesteps=6371344 - 6373264, avg episodic return=11.00
timesteps=6371344 - 6373264, avg episodic return=10.00
timesteps=6371344 - 6373264, avg episodic return=10.00
timesteps=6373520 - 6374288, avg episodic return=10.00
timesteps=6373392 - 6375312, avg episodic return=10.00
timesteps=6373520 - 6375056, avg episodic return=10.00
timesteps=6373648 - 6375312, avg episodic return=10.00
timesteps=6373392 - 6375184, avg episodic return=10.00
timesteps=6375440 - 6377104, avg episodic return=8.89
timesteps=6375440 - 6377360, avg episodic return=10.00
timesteps=6375440 - 6376720, avg episodic return=10.00
timesteps=6375440 - 6377360, avg episodic return=10.00
timesteps=6375440 - 6377360, avg episodic return=10.00
timesteps=6377488 - 6379280, avg episodic return=10.00
timesteps=6377488 - 6379280, avg episodic return=10.00
timesteps=6377488 - 6379152, avg episodic return=10.83
timesteps=6377488 - 6379408, avg episodic return=10.00
timesteps=6377488 - 6379408, avg episodic return=10.00
timesteps=6379536 - 6381456, avg episodic return=7.00
timesteps=6379536 - 6381456, avg episodic return=10.00
timesteps=6380048 - 6381456, avg episodic return=10.00
timesteps=6379536 - 6381456, avg episodic return=10.00
timesteps=6379536 - 6381456, avg episodic return=10.00
timesteps=6381584 - 6383120, avg episodic return=9.09
timesteps=6381584 - 6383504, avg episodic return=10.00
timesteps=6381840 - 6383248, avg episodic return=10.67
timesteps=6381584 - 6383504, avg episodic return=10.00
timesteps=6381584 - 6383376, avg episodic return=10.00
timesteps=6383632 - 6385552, avg episodic return=9.29
timesteps=6383632 - 6385552, avg episodic return=10.00
timesteps=6384144 - 6385552, avg episodic return=10.00
timesteps=6383760 - 6385552, avg episodic return=10.00
timesteps=6383632 - 6385424, avg episodic return=10.00
timesteps=6386064 - 6387472, avg episodic return=9.17
timesteps=6385680 - 6387600, avg episodic return=10.00
timesteps=6385808 - 6387600, avg episodic return=10.00
timesteps=6385680 - 6387472, avg episodic return=9.62
timesteps=6385680 - 6387472, avg episodic return=10.00
timesteps=6387728 - 6389392, avg episodic return=10.00
timesteps=6387728 - 6389648, avg episodic return=10.00
timesteps=6387856 - 6389648, avg episodic return=8.18
timesteps=6387728 - 6389648, avg episodic return=10.00
timesteps=6387728 - 6389648, avg episodic return=10.00
timesteps=6389776 - 6391440, avg episodic return=10.00
timesteps=6389776 - 6391568, avg episodic return=10.00
timesteps=6389904 - 6391696, avg episodic return=10.00
timesteps=6389776 - 6391696, avg episodic return=10.00
timesteps=6389776 - 6391696, avg episodic return=10.00
timesteps=6391952 - 6393744, avg episodic return=9.33
timesteps=6391824 - 6393744, avg episodic return=10.00
timesteps=6391824 - 6393744, avg episodic return=10.00
timesteps=6391824 - 6393744, avg episodic return=10.00
timesteps=6391824 - 6393616, avg episodic return=10.00
timesteps=6393872 - 6395792, avg episodic return=9.29
timesteps=6393872 - 6395792, avg episodic return=10.00
timesteps=6394128 - 6395664, avg episodic return=10.00
timesteps=6393872 - 6395664, avg episodic return=10.00
timesteps=6393872 - 6395792, avg episodic return=10.00
timesteps=6395920 - 6397712, avg episodic return=7.50
timesteps=6395920 - 6397840, avg episodic return=10.00
timesteps=6396176 - 6397840, avg episodic return=10.00
timesteps=6395920 - 6397840, avg episodic return=10.00
timesteps=6395920 - 6397840, avg episodic return=10.00
timesteps=6397968 - 6399760, avg episodic return=10.67
timesteps=6397968 - 6399760, avg episodic return=10.00
timesteps=6397968 - 6399888, avg episodic return=10.00
timesteps=6397968 - 6399888, avg episodic return=10.71
timesteps=6398096 - 6399888, avg episodic return=10.00
timesteps=6400272 - 6401680, avg episodic return=10.00
timesteps=6400016 - 6401936, avg episodic return=10.00
timesteps=6400016 - 6401936, avg episodic return=9.33
timesteps=6400016 - 6401936, avg episodic return=10.00
timesteps=6400144 - 6401936, avg episodic return=10.00
timesteps=6402064 - 6402832, avg episodic return=10.00
timesteps=6402064 - 6403984, avg episodic return=10.00
timesteps=6402192 - 6403600, avg episodic return=10.00
timesteps=6402064 - 6403984, avg episodic return=9.70
timesteps=6402064 - 6403984, avg episodic return=10.00
timesteps=6404112 - 6405648, avg episodic return=10.00
timesteps=6404112 - 6406032, avg episodic return=10.00
timesteps=6404240 - 6406032, avg episodic return=10.00
timesteps=6404112 - 6405904, avg episodic return=10.00
timesteps=6404112 - 6406032, avg episodic return=10.00
timesteps=6406288 - 6408080, avg episodic return=9.00
timesteps=6406160 - 6408080, avg episodic return=10.00
timesteps=6406160 - 6407824, avg episodic return=9.29
timesteps=6406160 - 6407952, avg episodic return=10.00
timesteps=6406160 - 6408080, avg episodic return=10.00
timesteps=6408208 - 6410128, avg episodic return=10.00
timesteps=6408208 - 6410128, avg episodic return=10.00
timesteps=6408208 - 6409744, avg episodic return=12.00
timesteps=6408208 - 6410000, avg episodic return=10.00
timesteps=6408208 - 6410128, avg episodic return=10.00
timesteps=6410256 - 6412176, avg episodic return=10.00
timesteps=6410256 - 6412176, avg episodic return=10.00
timesteps=6410256 - 6412176, avg episodic return=10.00
timesteps=6410256 - 6412176, avg episodic return=10.00
timesteps=6410256 - 6412176, avg episodic return=10.00
timesteps=6412432 - 6413840, avg episodic return=10.00
timesteps=6412304 - 6414224, avg episodic return=10.00
timesteps=6412560 - 6414224, avg episodic return=8.57
timesteps=6412304 - 6414224, avg episodic return=10.00
timesteps=6412304 - 6414224, avg episodic return=10.00
timesteps=6414352 - 6416272, avg episodic return=10.00
timesteps=6414352 - 6416272, avg episodic return=10.00
timesteps=6414480 - 6416144, avg episodic return=10.00
timesteps=6414736 - 6416144, avg episodic return=10.00
timesteps=6414480 - 6416272, avg episodic return=10.00
timesteps=6416528 - 6418064, avg episodic return=9.33
timesteps=6416400 - 6418320, avg episodic return=10.00
timesteps=6416400 - 6417680, avg episodic return=10.00
timesteps=6416528 - 6418320, avg episodic return=10.00
timesteps=6416400 - 6418192, avg episodic return=10.00
timesteps=6418448 - 6420240, avg episodic return=10.00
timesteps=6418448 - 6420368, avg episodic return=10.00
timesteps=6418448 - 6420368, avg episodic return=10.00
timesteps=6418448 - 6420240, avg episodic return=10.48
timesteps=6418448 - 6420368, avg episodic return=10.00
timesteps=6420496 - 6422288, avg episodic return=8.75
timesteps=6420624 - 6422416, avg episodic return=10.00
timesteps=6420624 - 6422288, avg episodic return=10.59
timesteps=6420752 - 6422416, avg episodic return=10.00
timesteps=6420496 - 6422416, avg episodic return=10.00
timesteps=6422928 - 6424464, avg episodic return=10.00
timesteps=6422544 - 6424464, avg episodic return=10.00
timesteps=6422544 - 6424336, avg episodic return=10.00
timesteps=6422544 - 6424464, avg episodic return=9.71
timesteps=6422544 - 6424464, avg episodic return=10.00
