## SLURM PROLOG ###############################################################
##    Job ID : 8517521
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:09:34 PM EST 2025
###############################################################################
obs (65,)
timesteps=133648 - 134928, avg episodic return=8.33
timesteps=133136 - 135056, avg episodic return=5.56
timesteps=133904 - 134800, avg episodic return=2.50
timesteps=133776 - 135056, avg episodic return=10.00
timesteps=133648 - 135056, avg episodic return=10.00
timesteps=135184 - 136848, avg episodic return=10.00
timesteps=135184 - 136848, avg episodic return=10.00
timesteps=135824 - 136592, avg episodic return=10.00
timesteps=135184 - 136592, avg episodic return=10.00
timesteps=138000 - 139152, avg episodic return=10.00
timesteps=137232 - 139152, avg episodic return=8.89
timesteps=137232 - 139152, avg episodic return=8.75
timesteps=137232 - 139024, avg episodic return=9.09
timesteps=137232 - 139024, avg episodic return=12.50
timesteps=139792 - 140048, avg episodic return=10.00
timesteps=139280 - 141200, avg episodic return=10.00
timesteps=139536 - 141200, avg episodic return=11.43
timesteps=139408 - 139536, avg episodic return=10.00
timesteps=139408 - 140944, avg episodic return=9.00
timesteps=141840 - 143120, avg episodic return=10.00
timesteps=141328 - 143248, avg episodic return=10.83
timesteps=141456 - 143120, avg episodic return=10.00
timesteps=141584 - 143248, avg episodic return=15.00
timesteps=141328 - 143248, avg episodic return=11.00
timesteps=143504 - 145168, avg episodic return=10.00
timesteps=143376 - 145296, avg episodic return=10.00
timesteps=143376 - 145168, avg episodic return=10.00
timesteps=143504 - 144656, avg episodic return=10.00
timesteps=144144 - 144784, avg episodic return=6.67
timesteps=145552 - 147344, avg episodic return=11.11
timesteps=146192 - 147344, avg episodic return=10.00
timesteps=145808 - 147344, avg episodic return=8.57
timesteps=145424 - 147088, avg episodic return=11.67
timesteps=145680 - 147344, avg episodic return=10.00
timesteps=147984 - 149392, avg episodic return=10.00
timesteps=147856 - 149136, avg episodic return=10.00
timesteps=147600 - 149392, avg episodic return=10.00
timesteps=147472 - 148880, avg episodic return=10.00
timesteps=147600 - 149264, avg episodic return=10.00
timesteps=149520 - 151056, avg episodic return=10.00
timesteps=150160 - 151184, avg episodic return=10.00
timesteps=149904 - 150544, avg episodic return=10.00
timesteps=149648 - 151440, avg episodic return=10.00
