timesteps=28228 - 28596, avg discounted return=2.34
timesteps=28228 - 28596, avg discounted return=3.27
timesteps=28228 - 28516, avg discounted return=3.47
timesteps=28164 - 28660, avg discounted return=2.82
timesteps=28196 - 28660, avg discounted return=2.03
timesteps=28772 - 29172, avg discounted return=1.88
timesteps=28756 - 29108, avg discounted return=3.43
timesteps=28692 - 29108, avg discounted return=2.07
timesteps=28692 - 29076, avg discounted return=2.14
timesteps=28724 - 29172, avg discounted return=3.01
timesteps=28692 - 29156, avg discounted return=1.42
timesteps=28676 - 29156, avg discounted return=2.17
timesteps=28724 - 29156, avg discounted return=3.46
timesteps=28724 - 29124, avg discounted return=3.44
timesteps=28676 - 29156, avg discounted return=1.35
timesteps=29188 - 29604, avg discounted return=1.68
timesteps=29268 - 29604, avg discounted return=3.38
timesteps=29268 - 29556, avg discounted return=2.41
timesteps=29300 - 29668, avg discounted return=1.29
timesteps=29252 - 29684, avg discounted return=3.44
timesteps=29236 - 29636, avg discounted return=1.16
timesteps=29332 - 29636, avg discounted return=2.50
timesteps=29268 - 29652, avg discounted return=3.47
timesteps=29316 - 29652, avg discounted return=3.40
timesteps=29188 - 29652, avg discounted return=1.66
timesteps=29700 - 30196, avg discounted return=1.85
timesteps=29748 - 30180, avg discounted return=3.37
timesteps=29844 - 30164, avg discounted return=1.93
timesteps=29748 - 30148, avg discounted return=1.52
timesteps=29700 - 30196, avg discounted return=3.10
timesteps=29780 - 30180, avg discounted return=1.29
timesteps=29700 - 30116, avg discounted return=2.78
timesteps=29828 - 30196, avg discounted return=2.79
timesteps=29700 - 30196, avg discounted return=3.46
timesteps=29716 - 30100, avg discounted return=2.94
timesteps=30212 - 30612, avg discounted return=1.34
timesteps=30308 - 30708, avg discounted return=3.39
timesteps=30244 - 30708, avg discounted return=1.40
timesteps=30516 - 30628, avg discounted return=-0.08
timesteps=30244 - 30708, avg discounted return=3.37
timesteps=30228 - 30676, avg discounted return=3.22
timesteps=30228 - 30612, avg discounted return=3.38
timesteps=30292 - 30580, avg discounted return=3.46
timesteps=30260 - 30692, avg discounted return=3.40
timesteps=30212 - 30676, avg discounted return=1.12
timesteps=30724 - 31204, avg discounted return=1.48
timesteps=30724 - 31220, avg discounted return=3.11
timesteps=30836 - 31188, avg discounted return=1.31
timesteps=30724 - 31108, avg discounted return=1.79
timesteps=30772 - 31204, avg discounted return=3.48
timesteps=30852 - 31204, avg discounted return=1.51
timesteps=30724 - 30996, avg discounted return=2.65
timesteps=30724 - 31188, avg discounted return=2.97
timesteps=30740 - 31220, avg discounted return=3.38
timesteps=30916 - 31220, avg discounted return=1.86
timesteps=31284 - 31732, avg discounted return=2.25
timesteps=31236 - 31700, avg discounted return=3.51
timesteps=31252 - 31732, avg discounted return=3.30
timesteps=31300 - 31588, avg discounted return=1.29
timesteps=31316 - 31700, avg discounted return=3.52
