## SLURM PROLOG ###############################################################
##    Job ID : 8517585
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 08:10:02 PM EST 2025
###############################################################################
obs (49,)
timesteps=2237544 - 2238280, avg episodic return=9.17
timesteps=2238504 - 2239400, avg episodic return=9.00
timesteps=2238504 - 2239432, avg episodic return=10.00
timesteps=2238472 - 2239400, avg episodic return=10.00
timesteps=2238504 - 2239464, avg episodic return=10.00
timesteps=2238472 - 2239400, avg episodic return=9.44
timesteps=2239560 - 2240488, avg episodic return=8.33
timesteps=2239496 - 2240488, avg episodic return=10.00
timesteps=2239560 - 2240424, avg episodic return=9.52
timesteps=2239720 - 2240488, avg episodic return=11.67
timesteps=2239528 - 2240456, avg episodic return=10.00
timesteps=2240552 - 2241416, avg episodic return=10.00
timesteps=2240520 - 2241512, avg episodic return=10.00
timesteps=2240680 - 2241448, avg episodic return=10.00
timesteps=2240520 - 2241416, avg episodic return=10.00
timesteps=2240520 - 2241512, avg episodic return=10.00
timesteps=2241576 - 2242440, avg episodic return=9.09
timesteps=2241640 - 2242504, avg episodic return=9.47
timesteps=2241544 - 2242472, avg episodic return=10.50
timesteps=2241608 - 2242440, avg episodic return=9.41
timesteps=2241576 - 2242504, avg episodic return=9.09
timesteps=2242664 - 2243496, avg episodic return=10.00
timesteps=2242568 - 2243400, avg episodic return=9.41
timesteps=2242664 - 2243496, avg episodic return=10.56
timesteps=2242568 - 2243464, avg episodic return=10.00
timesteps=2242568 - 2243560, avg episodic return=9.33
timesteps=2243592 - 2244488, avg episodic return=10.00
timesteps=2243624 - 2244552, avg episodic return=10.91
timesteps=2243592 - 2244552, avg episodic return=10.50
timesteps=2243624 - 2244456, avg episodic return=10.00
timesteps=2243656 - 2244520, avg episodic return=10.00
timesteps=2244712 - 2245544, avg episodic return=9.17
timesteps=2244616 - 2245512, avg episodic return=10.50
timesteps=2244648 - 2245608, avg episodic return=10.62
timesteps=2244616 - 2245576, avg episodic return=10.00
timesteps=2244616 - 2245576, avg episodic return=10.95
timesteps=2245640 - 2246632, avg episodic return=10.62
timesteps=2245640 - 2246632, avg episodic return=10.00
timesteps=2245640 - 2246632, avg episodic return=9.38
timesteps=2245672 - 2246536, avg episodic return=10.00
timesteps=2245736 - 2246632, avg episodic return=10.00
timesteps=2246696 - 2247592, avg episodic return=10.83
timesteps=2246728 - 2247592, avg episodic return=10.00
timesteps=2246792 - 2247624, avg episodic return=10.00
timesteps=2246760 - 2247624, avg episodic return=10.00
timesteps=2246664 - 2247656, avg episodic return=9.33
timesteps=2247688 - 2248680, avg episodic return=10.00
timesteps=2247752 - 2248648, avg episodic return=9.50
timesteps=2247752 - 2248616, avg episodic return=10.00
timesteps=2247688 - 2248616, avg episodic return=10.00
timesteps=2247880 - 2248616, avg episodic return=10.00
timesteps=2248776 - 2249704, avg episodic return=10.00
timesteps=2248840 - 2249704, avg episodic return=10.00
timesteps=2248712 - 2249672, avg episodic return=9.60
timesteps=2248712 - 2249704, avg episodic return=10.53
timesteps=2248712 - 2249704, avg episodic return=10.00
timesteps=2249736 - 2250536, avg episodic return=10.00
timesteps=2249832 - 2250728, avg episodic return=10.00
timesteps=2249800 - 2250728, avg episodic return=10.00
timesteps=2249768 - 2250696, avg episodic return=10.00
timesteps=2249736 - 2250504, avg episodic return=10.00
timesteps=2250760 - 2251752, avg episodic return=9.41
timesteps=2250888 - 2251720, avg episodic return=9.29
timesteps=2250760 - 2251720, avg episodic return=10.00
timesteps=2250824 - 2251656, avg episodic return=10.00
timesteps=2250760 - 2251752, avg episodic return=10.00
timesteps=2251848 - 2252776, avg episodic return=10.67
timesteps=2251784 - 2252744, avg episodic return=10.00
timesteps=2251784 - 2252712, avg episodic return=11.43
timesteps=2251816 - 2252744, avg episodic return=10.50
timesteps=2251880 - 2252776, avg episodic return=10.00
timesteps=2252904 - 2253800, avg episodic return=9.09
timesteps=2252840 - 2253768, avg episodic return=9.44
timesteps=2252808 - 2253800, avg episodic return=10.56
timesteps=2252840 - 2253736, avg episodic return=10.00
timesteps=2252872 - 2253736, avg episodic return=10.83
timesteps=2253896 - 2254824, avg episodic return=9.23
timesteps=2253832 - 2254792, avg episodic return=10.50
timesteps=2253896 - 2254696, avg episodic return=9.57
timesteps=2253896 - 2254824, avg episodic return=10.53
timesteps=2253864 - 2254792, avg episodic return=8.46
timesteps=2254920 - 2255752, avg episodic return=10.00
timesteps=2254856 - 2255816, avg episodic return=10.00
timesteps=2254856 - 2255816, avg episodic return=10.00
timesteps=2254888 - 2255848, avg episodic return=10.00
timesteps=2255080 - 2255848, avg episodic return=9.23
timesteps=2255976 - 2256840, avg episodic return=10.00
timesteps=2255880 - 2256872, avg episodic return=10.00
timesteps=2255912 - 2256872, avg episodic return=10.00
timesteps=2255880 - 2256776, avg episodic return=10.00
timesteps=2255880 - 2256840, avg episodic return=10.48
timesteps=2256936 - 2257896, avg episodic return=9.33
timesteps=2257032 - 2257896, avg episodic return=10.00
timesteps=2256904 - 2257896, avg episodic return=11.25
timesteps=2256904 - 2257704, avg episodic return=9.29
timesteps=2256936 - 2257896, avg episodic return=10.00
timesteps=2257928 - 2258920, avg episodic return=10.00
timesteps=2257928 - 2258920, avg episodic return=9.17
timesteps=2257960 - 2258920, avg episodic return=9.44
timesteps=2257992 - 2258920, avg episodic return=10.00
timesteps=2257928 - 2258888, avg episodic return=10.00
timesteps=2258952 - 2259912, avg episodic return=9.33
timesteps=2258952 - 2259944, avg episodic return=10.00
timesteps=2258952 - 2259912, avg episodic return=9.41
timesteps=2259016 - 2259848, avg episodic return=10.62
timesteps=2259112 - 2259816, avg episodic return=9.33
timesteps=2259976 - 2260840, avg episodic return=10.00
timesteps=2260072 - 2260968, avg episodic return=10.71
timesteps=2260008 - 2260968, avg episodic return=10.00
timesteps=2260008 - 2260968, avg episodic return=7.50
timesteps=2260040 - 2260968, avg episodic return=10.00
timesteps=2261032 - 2261960, avg episodic return=9.44
timesteps=2261064 - 2261896, avg episodic return=10.00
timesteps=2261032 - 2261928, avg episodic return=10.59
timesteps=2261000 - 2261800, avg episodic return=10.62
timesteps=2261192 - 2261928, avg episodic return=10.00
timesteps=2262152 - 2263016, avg episodic return=8.89
timesteps=2262120 - 2262984, avg episodic return=9.33
timesteps=2262024 - 2263016, avg episodic return=10.00
timesteps=2262120 - 2263016, avg episodic return=10.00
timesteps=2262120 - 2262984, avg episodic return=9.23
timesteps=2263080 - 2263752, avg episodic return=10.00
timesteps=2263144 - 2264040, avg episodic return=10.00
timesteps=2263080 - 2264040, avg episodic return=9.60
timesteps=2263080 - 2263848, avg episodic return=10.00
timesteps=2263112 - 2263976, avg episodic return=10.00
timesteps=2264104 - 2264936, avg episodic return=10.00
timesteps=2264104 - 2264936, avg episodic return=10.77
timesteps=2264104 - 2264840, avg episodic return=8.33
timesteps=2264136 - 2265064, avg episodic return=9.33
timesteps=2264104 - 2264968, avg episodic return=10.00
timesteps=2265096 - 2266024, avg episodic return=10.59
timesteps=2265096 - 2266088, avg episodic return=10.00
timesteps=2265192 - 2266024, avg episodic return=10.00
timesteps=2265192 - 2266024, avg episodic return=10.00
timesteps=2265160 - 2265960, avg episodic return=10.00
timesteps=2266280 - 2267080, avg episodic return=11.43
timesteps=2266216 - 2267112, avg episodic return=11.05
timesteps=2266120 - 2267080, avg episodic return=11.25
timesteps=2266248 - 2267112, avg episodic return=9.17
timesteps=2266184 - 2267112, avg episodic return=8.24
timesteps=2267176 - 2268136, avg episodic return=10.67
timesteps=2267176 - 2268136, avg episodic return=10.00
timesteps=2267208 - 2268104, avg episodic return=10.00
timesteps=2267240 - 2268104, avg episodic return=9.44
timesteps=2267208 - 2268136, avg episodic return=10.00
timesteps=2268296 - 2269096, avg episodic return=10.00
timesteps=2268200 - 2269160, avg episodic return=10.00
timesteps=2268232 - 2269160, avg episodic return=10.00
timesteps=2268264 - 2269096, avg episodic return=8.33
timesteps=2268168 - 2269128, avg episodic return=10.00
timesteps=2269448 - 2270152, avg episodic return=9.23
timesteps=2269256 - 2270152, avg episodic return=10.00
timesteps=2269256 - 2270024, avg episodic return=10.00
timesteps=2269224 - 2270088, avg episodic return=10.00
timesteps=2269256 - 2270184, avg episodic return=10.00
timesteps=2270344 - 2271112, avg episodic return=11.82
timesteps=2270248 - 2271208, avg episodic return=10.00
timesteps=2270280 - 2271176, avg episodic return=10.00
timesteps=2270216 - 2271144, avg episodic return=9.38
timesteps=2270280 - 2271208, avg episodic return=9.13
timesteps=2271272 - 2272072, avg episodic return=11.25
timesteps=2271240 - 2272168, avg episodic return=10.00
timesteps=2271272 - 2272168, avg episodic return=9.41
timesteps=2271240 - 2272104, avg episodic return=8.82
timesteps=2271240 - 2272200, avg episodic return=11.43
timesteps=2272296 - 2273192, avg episodic return=10.00
timesteps=2272264 - 2273160, avg episodic return=10.59
timesteps=2272296 - 2273256, avg episodic return=9.58
timesteps=2272264 - 2273224, avg episodic return=10.91
timesteps=2272264 - 2273224, avg episodic return=10.00
timesteps=2273288 - 2274216, avg episodic return=9.44
timesteps=2273288 - 2274216, avg episodic return=10.91
timesteps=2273288 - 2274152, avg episodic return=11.54
timesteps=2273320 - 2274280, avg episodic return=10.48
timesteps=2273288 - 2274280, avg episodic return=10.00
timesteps=2274312 - 2275304, avg episodic return=10.00
timesteps=2274312 - 2275304, avg episodic return=10.00
timesteps=2274344 - 2275304, avg episodic return=8.33
timesteps=2274536 - 2275304, avg episodic return=10.00
timesteps=2274408 - 2275304, avg episodic return=10.56
timesteps=2275368 - 2276232, avg episodic return=11.11
timesteps=2275336 - 2276232, avg episodic return=10.00
timesteps=2275336 - 2276296, avg episodic return=9.52
timesteps=2275336 - 2276296, avg episodic return=9.38
timesteps=2275400 - 2276296, avg episodic return=10.00
timesteps=2276424 - 2277320, avg episodic return=10.71
timesteps=2276360 - 2277288, avg episodic return=10.00
timesteps=2276360 - 2277320, avg episodic return=10.00
timesteps=2276392 - 2277320, avg episodic return=10.77
timesteps=2276392 - 2277288, avg episodic return=10.00
timesteps=2277384 - 2278344, avg episodic return=11.00
timesteps=2277384 - 2278376, avg episodic return=10.00
timesteps=2277480 - 2278344, avg episodic return=9.05
timesteps=2277384 - 2278376, avg episodic return=10.00
timesteps=2277416 - 2278376, avg episodic return=10.00
timesteps=2278568 - 2279400, avg episodic return=10.53
timesteps=2278408 - 2279400, avg episodic return=10.00
timesteps=2278408 - 2279400, avg episodic return=10.00
timesteps=2278408 - 2279400, avg episodic return=10.00
timesteps=2278504 - 2279208, avg episodic return=10.00
timesteps=2279432 - 2280392, avg episodic return=9.09
timesteps=2279432 - 2280200, avg episodic return=10.00
timesteps=2279720 - 2280424, avg episodic return=10.00
timesteps=2279560 - 2280392, avg episodic return=10.00
timesteps=2279560 - 2280392, avg episodic return=9.23
timesteps=2280552 - 2281320, avg episodic return=10.00
timesteps=2280552 - 2281320, avg episodic return=10.00
timesteps=2280488 - 2281448, avg episodic return=9.47
timesteps=2280456 - 2281448, avg episodic return=10.00
timesteps=2280488 - 2281448, avg episodic return=10.00
timesteps=2281480 - 2282472, avg episodic return=10.00
timesteps=2281512 - 2282472, avg episodic return=9.44
timesteps=2281544 - 2282344, avg episodic return=10.00
timesteps=2281512 - 2282376, avg episodic return=10.00
timesteps=2281480 - 2282472, avg episodic return=10.00
timesteps=2282504 - 2283336, avg episodic return=10.00
timesteps=2282536 - 2283464, avg episodic return=10.00
timesteps=2282664 - 2283464, avg episodic return=10.48
timesteps=2282504 - 2283464, avg episodic return=10.00
timesteps=2282664 - 2283464, avg episodic return=10.00
timesteps=2283528 - 2284488, avg episodic return=10.00
timesteps=2283528 - 2284456, avg episodic return=9.41
timesteps=2283528 - 2284392, avg episodic return=10.53
timesteps=2283528 - 2284488, avg episodic return=10.00
timesteps=2283720 - 2284520, avg episodic return=9.29
timesteps=2284680 - 2285544, avg episodic return=9.47
timesteps=2284584 - 2285448, avg episodic return=10.00
timesteps=2284552 - 2285416, avg episodic return=9.41
timesteps=2284584 - 2285544, avg episodic return=10.00
timesteps=2284552 - 2285544, avg episodic return=9.44
timesteps=2285608 - 2286376, avg episodic return=10.00
timesteps=2285576 - 2286568, avg episodic return=10.00
timesteps=2285640 - 2286568, avg episodic return=10.00
timesteps=2285576 - 2286536, avg episodic return=10.00
timesteps=2285576 - 2286312, avg episodic return=9.38
timesteps=2286664 - 2287560, avg episodic return=10.95
timesteps=2286600 - 2287560, avg episodic return=10.00
timesteps=2286664 - 2287560, avg episodic return=10.62
timesteps=2286664 - 2287496, avg episodic return=10.67
timesteps=2286600 - 2287592, avg episodic return=10.00
timesteps=2287656 - 2288456, avg episodic return=11.00
timesteps=2287656 - 2288520, avg episodic return=10.00
timesteps=2287624 - 2288584, avg episodic return=9.60
timesteps=2287720 - 2288584, avg episodic return=10.77
timesteps=2287656 - 2288584, avg episodic return=10.00
timesteps=2288648 - 2289640, avg episodic return=10.00
timesteps=2288648 - 2289640, avg episodic return=9.47
timesteps=2288680 - 2289608, avg episodic return=10.67
timesteps=2288680 - 2289640, avg episodic return=10.00
timesteps=2288744 - 2289576, avg episodic return=10.00
timesteps=2289736 - 2290408, avg episodic return=9.23
timesteps=2289672 - 2290664, avg episodic return=9.57
timesteps=2289704 - 2290600, avg episodic return=10.00
timesteps=2289672 - 2290664, avg episodic return=9.17
timesteps=2289672 - 2290664, avg episodic return=11.30
timesteps=2290728 - 2291656, avg episodic return=10.83
timesteps=2290728 - 2291688, avg episodic return=10.00
timesteps=2290696 - 2291688, avg episodic return=10.00
timesteps=2290792 - 2291688, avg episodic return=9.29
timesteps=2290696 - 2291688, avg episodic return=10.00
timesteps=2291720 - 2292616, avg episodic return=10.00
timesteps=2291720 - 2292712, avg episodic return=10.00
timesteps=2291848 - 2292712, avg episodic return=10.00
timesteps=2291752 - 2292712, avg episodic return=10.00
timesteps=2291752 - 2292584, avg episodic return=9.38
timesteps=2292744 - 2293704, avg episodic return=10.00
timesteps=2292744 - 2293672, avg episodic return=9.47
timesteps=2292744 - 2293640, avg episodic return=9.57
timesteps=2292744 - 2293704, avg episodic return=10.00
timesteps=2292776 - 2293736, avg episodic return=10.00
timesteps=2293768 - 2294696, avg episodic return=10.40
timesteps=2293768 - 2294600, avg episodic return=9.38
timesteps=2293864 - 2294664, avg episodic return=9.29
timesteps=2293800 - 2294696, avg episodic return=10.00
timesteps=2293832 - 2294696, avg episodic return=10.00
timesteps=2294952 - 2295720, avg episodic return=10.00
timesteps=2294792 - 2295784, avg episodic return=10.00
timesteps=2294888 - 2295752, avg episodic return=10.00
timesteps=2294824 - 2295720, avg episodic return=8.82
timesteps=2294824 - 2295752, avg episodic return=10.00
timesteps=2295816 - 2296808, avg episodic return=9.33
timesteps=2295816 - 2296808, avg episodic return=10.00
timesteps=2295848 - 2296808, avg episodic return=10.00
timesteps=2295848 - 2296808, avg episodic return=10.62
timesteps=2295848 - 2296744, avg episodic return=10.77
timesteps=2296872 - 2297832, avg episodic return=8.75
timesteps=2296840 - 2297800, avg episodic return=10.00
timesteps=2296904 - 2297768, avg episodic return=10.00
timesteps=2296904 - 2297768, avg episodic return=10.83
timesteps=2296840 - 2297800, avg episodic return=10.45
timesteps=2297864 - 2298792, avg episodic return=10.00
timesteps=2297864 - 2298824, avg episodic return=10.00
timesteps=2297864 - 2298856, avg episodic return=11.05
timesteps=2297864 - 2298792, avg episodic return=10.00
timesteps=2297928 - 2298856, avg episodic return=9.17
timesteps=2298888 - 2299848, avg episodic return=10.00
timesteps=2298888 - 2299848, avg episodic return=9.52
timesteps=2298888 - 2299816, avg episodic return=9.38
timesteps=2298984 - 2299848, avg episodic return=10.00
timesteps=2299080 - 2299880, avg episodic return=8.67
timesteps=2300008 - 2300904, avg episodic return=8.89
timesteps=2300008 - 2300872, avg episodic return=10.48
timesteps=2299976 - 2300904, avg episodic return=10.00
timesteps=2299944 - 2300840, avg episodic return=10.00
timesteps=2300072 - 2300904, avg episodic return=10.00
timesteps=2301000 - 2301896, avg episodic return=11.67
timesteps=2300968 - 2301864, avg episodic return=9.47
timesteps=2300968 - 2301896, avg episodic return=10.00
timesteps=2300936 - 2301928, avg episodic return=10.00
timesteps=2301160 - 2301896, avg episodic return=10.00
timesteps=2301960 - 2302952, avg episodic return=10.83
timesteps=2301992 - 2302952, avg episodic return=10.00
timesteps=2302184 - 2302920, avg episodic return=10.83
timesteps=2301960 - 2302760, avg episodic return=10.00
timesteps=2301960 - 2302952, avg episodic return=10.00
timesteps=2302984 - 2303944, avg episodic return=10.00
timesteps=2302984 - 2303976, avg episodic return=9.47
timesteps=2303144 - 2303912, avg episodic return=10.00
timesteps=2302984 - 2303912, avg episodic return=10.77
timesteps=2302984 - 2303976, avg episodic return=10.00
timesteps=2304072 - 2304808, avg episodic return=10.00
timesteps=2304008 - 2304968, avg episodic return=10.00
timesteps=2304072 - 2305000, avg episodic return=10.83
timesteps=2304104 - 2304968, avg episodic return=9.17
timesteps=2304008 - 2304904, avg episodic return=8.33
timesteps=2305160 - 2306024, avg episodic return=10.00
timesteps=2305160 - 2306024, avg episodic return=10.00
timesteps=2305064 - 2306024, avg episodic return=10.00
timesteps=2305160 - 2305992, avg episodic return=10.00
timesteps=2305160 - 2305928, avg episodic return=10.00
timesteps=2306120 - 2307048, avg episodic return=11.18
timesteps=2306056 - 2306888, avg episodic return=9.38
timesteps=2306056 - 2307016, avg episodic return=10.00
timesteps=2306184 - 2307016, avg episodic return=10.00
timesteps=2306056 - 2307016, avg episodic return=10.00
timesteps=2307112 - 2307976, avg episodic return=8.24
timesteps=2307112 - 2308072, avg episodic return=10.00
timesteps=2307080 - 2308040, avg episodic return=9.47
timesteps=2307144 - 2307976, avg episodic return=8.57
timesteps=2307176 - 2308072, avg episodic return=8.89
timesteps=2308104 - 2309096, avg episodic return=9.44
timesteps=2308104 - 2309064, avg episodic return=10.42
timesteps=2308136 - 2308872, avg episodic return=9.41
timesteps=2308104 - 2309064, avg episodic return=10.56
timesteps=2308104 - 2309064, avg episodic return=8.33
timesteps=2309224 - 2310120, avg episodic return=9.23
timesteps=2309128 - 2310056, avg episodic return=10.00
timesteps=2309128 - 2310120, avg episodic return=10.00
timesteps=2309160 - 2310088, avg episodic return=10.00
timesteps=2309256 - 2309992, avg episodic return=10.62
timesteps=2310504 - 2311048, avg episodic return=10.00
timesteps=2310184 - 2311144, avg episodic return=10.00
timesteps=2310184 - 2310888, avg episodic return=10.56
timesteps=2310248 - 2311080, avg episodic return=10.67
timesteps=2310152 - 2311112, avg episodic return=10.00
timesteps=2311176 - 2312136, avg episodic return=11.43
timesteps=2311240 - 2312168, avg episodic return=10.48
timesteps=2311528 - 2312136, avg episodic return=10.00
timesteps=2311208 - 2312168, avg episodic return=9.29
timesteps=2311176 - 2312168, avg episodic return=11.11
timesteps=2312232 - 2313160, avg episodic return=10.77
timesteps=2312360 - 2313192, avg episodic return=10.50
timesteps=2312296 - 2313000, avg episodic return=10.00
timesteps=2312200 - 2313160, avg episodic return=8.00
timesteps=2312232 - 2313128, avg episodic return=9.47
timesteps=2313256 - 2314216, avg episodic return=10.00
timesteps=2313224 - 2314152, avg episodic return=10.00
timesteps=2313224 - 2314216, avg episodic return=9.50
timesteps=2313224 - 2314184, avg episodic return=10.53
timesteps=2313288 - 2314184, avg episodic return=8.89
timesteps=2314280 - 2315240, avg episodic return=8.82
timesteps=2314280 - 2315208, avg episodic return=10.00
timesteps=2314312 - 2315240, avg episodic return=10.00
timesteps=2314280 - 2315080, avg episodic return=9.00
timesteps=2314248 - 2315240, avg episodic return=10.50
timesteps=2315336 - 2316264, avg episodic return=9.33
timesteps=2315368 - 2316168, avg episodic return=10.00
timesteps=2315304 - 2316264, avg episodic return=10.00
timesteps=2315304 - 2316232, avg episodic return=9.44
timesteps=2315304 - 2316264, avg episodic return=10.00
timesteps=2316296 - 2317288, avg episodic return=10.48
timesteps=2316296 - 2317288, avg episodic return=8.50
timesteps=2316328 - 2317288, avg episodic return=10.00
timesteps=2316328 - 2317192, avg episodic return=10.00
timesteps=2316296 - 2317224, avg episodic return=10.00
timesteps=2317320 - 2318280, avg episodic return=12.00
timesteps=2317320 - 2318152, avg episodic return=10.00
timesteps=2317352 - 2318312, avg episodic return=10.00
timesteps=2317352 - 2318312, avg episodic return=8.89
timesteps=2317416 - 2318184, avg episodic return=10.00
timesteps=2318440 - 2319336, avg episodic return=10.00
timesteps=2318408 - 2319304, avg episodic return=9.29
timesteps=2318504 - 2319112, avg episodic return=10.00
timesteps=2318344 - 2319304, avg episodic return=10.50
timesteps=2318536 - 2319304, avg episodic return=10.00
timesteps=2319368 - 2320200, avg episodic return=10.00
timesteps=2319464 - 2320360, avg episodic return=10.00
timesteps=2319368 - 2320296, avg episodic return=10.00
timesteps=2319464 - 2320232, avg episodic return=10.00
timesteps=2319368 - 2320328, avg episodic return=9.50
timesteps=2320392 - 2321384, avg episodic return=10.00
timesteps=2320424 - 2321256, avg episodic return=10.00
timesteps=2320424 - 2321384, avg episodic return=10.77
timesteps=2320552 - 2321384, avg episodic return=10.62
timesteps=2320392 - 2321352, avg episodic return=10.45
timesteps=2321448 - 2322376, avg episodic return=10.91
timesteps=2321448 - 2322376, avg episodic return=10.00
timesteps=2321416 - 2322408, avg episodic return=10.59
timesteps=2321480 - 2322408, avg episodic return=10.00
timesteps=2321480 - 2322408, avg episodic return=10.00
timesteps=2322504 - 2323368, avg episodic return=10.00
timesteps=2322504 - 2323368, avg episodic return=11.82
timesteps=2322440 - 2323432, avg episodic return=10.00
timesteps=2322440 - 2323400, avg episodic return=10.00
timesteps=2322472 - 2323304, avg episodic return=10.00
timesteps=2323528 - 2324424, avg episodic return=10.00
timesteps=2323496 - 2324328, avg episodic return=10.59
timesteps=2323464 - 2324456, avg episodic return=10.50
timesteps=2323464 - 2324456, avg episodic return=10.00
timesteps=2323560 - 2324456, avg episodic return=10.62
timesteps=2324520 - 2325448, avg episodic return=13.00
timesteps=2324520 - 2325480, avg episodic return=10.62
timesteps=2324552 - 2325480, avg episodic return=9.55
timesteps=2324488 - 2325480, avg episodic return=10.00
timesteps=2324584 - 2325256, avg episodic return=10.00
timesteps=2325544 - 2326472, avg episodic return=10.48
timesteps=2325512 - 2326504, avg episodic return=10.00
timesteps=2325608 - 2326504, avg episodic return=10.00
timesteps=2325544 - 2326440, avg episodic return=10.00
timesteps=2325544 - 2326472, avg episodic return=10.00
timesteps=2326632 - 2327528, avg episodic return=10.00
timesteps=2326536 - 2327464, avg episodic return=10.00
timesteps=2326536 - 2327496, avg episodic return=10.00
timesteps=2326536 - 2327464, avg episodic return=10.00
timesteps=2326536 - 2327464, avg episodic return=10.00
timesteps=2327784 - 2328328, avg episodic return=10.83
timesteps=2327656 - 2328456, avg episodic return=9.52
timesteps=2327656 - 2328520, avg episodic return=10.00
timesteps=2327560 - 2328456, avg episodic return=10.00
timesteps=2327624 - 2328456, avg episodic return=10.71
timesteps=2328744 - 2329544, avg episodic return=9.44
timesteps=2328616 - 2329480, avg episodic return=10.00
timesteps=2328584 - 2329448, avg episodic return=9.52
timesteps=2328616 - 2329544, avg episodic return=10.00
timesteps=2328776 - 2329480, avg episodic return=10.00
timesteps=2329736 - 2330536, avg episodic return=10.83
timesteps=2329704 - 2330600, avg episodic return=10.00
timesteps=2329608 - 2330600, avg episodic return=10.59
timesteps=2329672 - 2330568, avg episodic return=10.00
timesteps=2329640 - 2330600, avg episodic return=10.00
timesteps=2330664 - 2331528, avg episodic return=10.00
timesteps=2330632 - 2331592, avg episodic return=9.52
timesteps=2330728 - 2331624, avg episodic return=10.00
timesteps=2330632 - 2331624, avg episodic return=10.62
timesteps=2330664 - 2331624, avg episodic return=10.00
timesteps=2331912 - 2332648, avg episodic return=10.00
timesteps=2331784 - 2332616, avg episodic return=9.44
timesteps=2331688 - 2332648, avg episodic return=10.50
timesteps=2331656 - 2332552, avg episodic return=10.56
timesteps=2331720 - 2332648, avg episodic return=8.82
timesteps=2332712 - 2333672, avg episodic return=9.23
timesteps=2332712 - 2333640, avg episodic return=10.40
timesteps=2332712 - 2333512, avg episodic return=10.00
timesteps=2332680 - 2333672, avg episodic return=9.41
timesteps=2332680 - 2333672, avg episodic return=10.91
timesteps=2333736 - 2334696, avg episodic return=10.00
timesteps=2333736 - 2334664, avg episodic return=9.33
timesteps=2333704 - 2334696, avg episodic return=9.38
timesteps=2333704 - 2334696, avg episodic return=9.09
timesteps=2333736 - 2334696, avg episodic return=10.00
timesteps=2334728 - 2335720, avg episodic return=10.00
timesteps=2334760 - 2335720, avg episodic return=10.00
timesteps=2334760 - 2335624, avg episodic return=10.56
timesteps=2334792 - 2335688, avg episodic return=10.77
timesteps=2334856 - 2335656, avg episodic return=10.00
timesteps=2335880 - 2336744, avg episodic return=11.25
timesteps=2335784 - 2336744, avg episodic return=10.00
timesteps=2335912 - 2336712, avg episodic return=8.95
timesteps=2335784 - 2336744, avg episodic return=10.00
timesteps=2335816 - 2336648, avg episodic return=10.00
timesteps=2336776 - 2337768, avg episodic return=10.00
timesteps=2336808 - 2337768, avg episodic return=10.00
timesteps=2336808 - 2337672, avg episodic return=9.50
timesteps=2336776 - 2337640, avg episodic return=10.00
timesteps=2336808 - 2337736, avg episodic return=10.45
timesteps=2337832 - 2338792, avg episodic return=10.00
timesteps=2337896 - 2338696, avg episodic return=9.50
timesteps=2337896 - 2338792, avg episodic return=10.00
timesteps=2337800 - 2338760, avg episodic return=10.00
timesteps=2337800 - 2338728, avg episodic return=10.00
timesteps=2338824 - 2339752, avg episodic return=10.00
timesteps=2338920 - 2339720, avg episodic return=10.00
timesteps=2338984 - 2339816, avg episodic return=10.00
timesteps=2338888 - 2339752, avg episodic return=9.44
timesteps=2338824 - 2339816, avg episodic return=10.53
timesteps=2339848 - 2340808, avg episodic return=9.09
timesteps=2339880 - 2340840, avg episodic return=9.44
timesteps=2339848 - 2340840, avg episodic return=10.00
timesteps=2339848 - 2340776, avg episodic return=10.00
timesteps=2339848 - 2340808, avg episodic return=10.53
timesteps=2340904 - 2341864, avg episodic return=11.43
timesteps=2340936 - 2341832, avg episodic return=10.00
timesteps=2340872 - 2341864, avg episodic return=10.48
timesteps=2340872 - 2341800, avg episodic return=10.00
timesteps=2340872 - 2341832, avg episodic return=9.47
timesteps=2341928 - 2342856, avg episodic return=8.46
timesteps=2341896 - 2342824, avg episodic return=10.50
timesteps=2341928 - 2342856, avg episodic return=10.00
timesteps=2341992 - 2342792, avg episodic return=10.00
timesteps=2341896 - 2342888, avg episodic return=8.67
timesteps=2342920 - 2343912, avg episodic return=10.00
timesteps=2342920 - 2343880, avg episodic return=9.29
timesteps=2342920 - 2343912, avg episodic return=9.50
timesteps=2343080 - 2343912, avg episodic return=10.00
timesteps=2342984 - 2343912, avg episodic return=10.00
timesteps=2343944 - 2344936, avg episodic return=10.00
timesteps=2344008 - 2344904, avg episodic return=10.00
timesteps=2343976 - 2344904, avg episodic return=9.41
timesteps=2344008 - 2344936, avg episodic return=10.00
timesteps=2343976 - 2344936, avg episodic return=10.00
timesteps=2345032 - 2345960, avg episodic return=10.00
timesteps=2344968 - 2345960, avg episodic return=10.53
timesteps=2344968 - 2345864, avg episodic return=10.48
timesteps=2345128 - 2345960, avg episodic return=9.00
timesteps=2344968 - 2345928, avg episodic return=9.33
timesteps=2346056 - 2346984, avg episodic return=9.23
timesteps=2346024 - 2346856, avg episodic return=9.05
timesteps=2345992 - 2346984, avg episodic return=10.00
timesteps=2345992 - 2346952, avg episodic return=10.91
timesteps=2345992 - 2346952, avg episodic return=9.52
timesteps=2347080 - 2347880, avg episodic return=9.09
